journal,publisher_family,year,publication_date,title,authors,volume,issue,doi,article_url,article_type,source_container_title,openalex_id
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-01-04,Pone-GNN: Integrating Positive and Negative Feedback in Graph Neural Networks for Recommender Systems,Ziyang Liu; Chaokun Wang; Shuwen Zheng; Cheng Wu; Kai Zheng; Yang Song; Na Mou,3,2,10.1145/3711666,https://doi.org/10.1145/3711666,article,ACM Transactions on Recommender Systems,https://openalex.org/W4406053379
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-01-11,Improving Sequential Recommendations with LLMs,Artun Boz; Wouter Zorgdrager; Zoe Kotti; Jesse Harte; Πάνος Λουρίδας; Vassilios Karakoidas; Dietmar Jannach; Marios Fragkoulis,4,2,10.1145/3711667,https://doi.org/10.1145/3711667,article,ACM Transactions on Recommender Systems,https://openalex.org/W4406263938
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-01-15,Impression-Aware Recommender Systems,Fernando Benjamín Pérez Maurera; Maurizio Ferrari Dacrema; Pablo Castells; Paolo Cremonesi,3,4,10.1145/3712292,https://doi.org/10.1145/3712292,article,ACM Transactions on Recommender Systems,https://openalex.org/W4406434737
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-01-18,Deep Learning of Dynamic POI Generation and Optimisation for Itinerary Recommendation,Sajal Halder; Kwan Hui Lim; Jeffrey Chan; Xiuzhen Zhang,3,4,10.1145/3713079,https://doi.org/10.1145/3713079,article,ACM Transactions on Recommender Systems,https://openalex.org/W4406552990
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-02-03,CTRL: Connect Collaborative and Language Model for CTR Prediction,Xiangyang Li; Bo Chen; Lu Hou; Ruiming Tang,4,2,10.1145/3713080,https://doi.org/10.1145/3713080,article,ACM Transactions on Recommender Systems,https://openalex.org/W4407108493
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-02-05,Whom do Explanations Serve? A Systematic Literature Survey of User Characteristics in Explainable Recommender Systems Evaluation,Kathrin Wardatzky; Oana Inel; Luca Rossetto; Abraham Bernstein,3,4,10.1145/3716394,https://doi.org/10.1145/3716394,article,ACM Transactions on Recommender Systems,https://openalex.org/W4407184412
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-02-11,A Bi-Step Grounding Paradigm for Large Language Models in Recommendation Systems,Keqin Bao; Jizhi Zhang; Wenjie Wang; Yang Zhang; Zhengyi Yang; Yanchen Luo; Chong Chen; Fuli Feng; Qi Chuan Tian,3,4,10.1145/3716393,https://doi.org/10.1145/3716393,article,ACM Transactions on Recommender Systems,https://openalex.org/W4407375814
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-02-15,Impact of Tone-Aware Explanations in Recommender Systems,Ayano Okoso; Keisuke Otaki; Satoshi Koide; Yukino Baba,3,4,10.1145/3718101,https://doi.org/10.1145/3718101,article,ACM Transactions on Recommender Systems,https://openalex.org/W4407592733
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-02-17,Balancing Embedding Spectrum for Recommendation,Shaowen Peng; Kazunari Sugiyama; Xin Liu; Tsunenori Mine,3,4,10.1145/3718488,https://doi.org/10.1145/3718488,article,ACM Transactions on Recommender Systems,https://openalex.org/W4407654895
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-02-18,Unbiased Interest Modeling in Sequential Basket Analysis: Addressing Repetition Bias with Multi-Factor Estimation,Zhiying Deng; Jianjun Li; Wei Liu; Juan Zhao,3,4,10.1145/3718100,https://doi.org/10.1145/3718100,article,ACM Transactions on Recommender Systems,https://openalex.org/W4407675056
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-02-19,Enhancing Recommender Systems: Deep Modality Alignment with Large Multi-Modal Encoders,Zixuan Yi; Zijun Long; Iadh Ounis; Craig Macdonald; Richard McCreadie,3,4,10.1145/3718099,https://doi.org/10.1145/3718099,article,ACM Transactions on Recommender Systems,https://openalex.org/W4407750010
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-03-06,"Mirror, Mirror: Exploring Stereotype Presence Among Top-N Recommendations That May Reach Children",Robin Ungruh; Murtadha Al Nahadi; Maria Soledad Pera,5,1,10.1145/3721987,https://doi.org/10.1145/3721987,article,ACM Transactions on Recommender Systems,https://openalex.org/W4408198450
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-03-06,Modeling and Analyzing the Influence of Non-Item Pages on Sequential Next-Item Prediction,Elisabeth Fischer; Albin Zehe; Andreas Hotho; Daniel Schlör,4,1,10.1145/3721298,https://doi.org/10.1145/3721298,article,ACM Transactions on Recommender Systems,https://openalex.org/W4408198426
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-03-18,Self-supervised Graph Neural Sequential Recommendation with Disentangling Long and Short-Term Interest,Liang He; Wujie Yan; Tingzhou Yi; Heli Sun,4,1,10.1145/3723173,https://doi.org/10.1145/3723173,article,ACM Transactions on Recommender Systems,https://openalex.org/W4408551881
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-03-21,Introduction to the Special Issue on Knowledge Transferring for Recommender Systems,Zhiwei Liu; Hao Peng; Caiming Xiong; Julian McAuley; Philip S. Yu,3,3,10.1145/3715601,https://doi.org/10.1145/3715601,editorial,ACM Transactions on Recommender Systems,https://openalex.org/W4408693554
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-03-25,Efficient and Deployable Knowledge Infusion for Open-World Recommendations via Large Language Models,Yunjia Xi; Weiwen Liu; Jianghao Lin; Muyan Weng; Xiaoling Cai; Hong Chun Zhu; Jieming Zhu; Bo Chen; Ruiming Tang; Yong Hai Yu; Weinan Zhang,4,1,10.1145/3725894,https://doi.org/10.1145/3725894,article,ACM Transactions on Recommender Systems,https://openalex.org/W4408832699
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-03-28,Text2Bundle: Towards Personalized Query-based Bundle Generation,J. Hu; Shixuan Zhu; Chuan Cui; Qi Shen; Yu Ji; Zhihua Wei,4,2,10.1145/3706125,https://doi.org/10.1145/3706125,article,ACM Transactions on Recommender Systems,https://openalex.org/W4408945144
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-03-31,Intention-sensitive Preference Learning Network for Personalized Session-based Recommendation,Qingbo Zhang; Xiaochun Yang; Hao Chen; Bin Wang; Xiangmin Zhou,4,1,10.1145/3727647,https://doi.org/10.1145/3727647,article,ACM Transactions on Recommender Systems,https://openalex.org/W4408997019
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-04-04,"Recall, Robustness, and Lexicographic Evaluation",Fernando Díaz; Michael D. Ekstrand; Bhaskar Mitra,4,1,10.1145/3728373,https://doi.org/10.1145/3728373,article,ACM Transactions on Recommender Systems,https://openalex.org/W4409168760
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-04-10,Solving the Contextual Pure Cold-Start Problem under Uncertainty,Paula Gómez Duran; Axel Brando; Jordi M. Vitria,4,1,10.1145/3729245,https://doi.org/10.1145/3729245,article,ACM Transactions on Recommender Systems,https://openalex.org/W4409336700
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-04-21,Beyond Recommendations: Sequential Recommendation with Collaborative Explanation,Yi Yu; Kazunari Sugiyama; Adam Jatowt,4,3,10.1145/3731458,https://doi.org/10.1145/3731458,article,ACM Transactions on Recommender Systems,https://openalex.org/W4409623804
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-04-24,Investigating User-Side Fairness in Outcome and Process for Multi-Type Sensitive Attributes in Recommendations,Weixin Chen; Li Chen; Yuhan Zhao,4,2,10.1145/3731568,https://doi.org/10.1145/3731568,article,ACM Transactions on Recommender Systems,https://openalex.org/W4409771076
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-04-24,LXR: Learning to eXplain Recommendations,Liya Gurevitch; Veronika Bogina; Oren Barkan; Yahlly Schein; Yehonatan Elisha; Noam Koenigstein,4,2,10.1145/3732292,https://doi.org/10.1145/3732292,article,ACM Transactions on Recommender Systems,https://openalex.org/W4409771025
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-04-29,Don’t Get Bored: Enhancing Scalability and Diversity in Session-Based Slate Recommendation,Aayush Singha Roy; Edoardo D’Amico; Ηλίας Τράγος; Aonghus Lawlor; Neil Hurley,4,1,10.1145/3733241,https://doi.org/10.1145/3733241,article,ACM Transactions on Recommender Systems,https://openalex.org/W4409944786
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-04-30,Breaking Feedback Loops in Recommender Systems with Causal Inference,Karl Krauth; Zhaoran Wang; Michael I. Jordan,4,1,10.1145/3728372,https://doi.org/10.1145/3728372,article,ACM Transactions on Recommender Systems,https://openalex.org/W4409963658
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-05-09,Towards Carbon Footprint-Aware Recommender Systems for Greener Item Recommendation,Raoul Kalisvaart; Masoud Mansoury; Alan Hanjalić; Elvin Isufi,4,2,10.1145/3735144,https://doi.org/10.1145/3735144,article,ACM Transactions on Recommender Systems,https://openalex.org/W4410237563
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-05-13,Joint Factual and Counterfactual Explanations for Top-k GNN-based Recommendations,Ziheng Chen; Jin Huang; Fabrizio Silvestri; Yongfeng Zhang; Hongshik Ahn; Gabriele Tolomei,4,2,10.1145/3731683,https://doi.org/10.1145/3731683,article,ACM Transactions on Recommender Systems,https://openalex.org/W4410320553
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-05-26,CROSS: Feedback-Oriented Multi-Modal Dynamic Alignment in Recommendation Systems,Yang Li; Junpeng Du; Chenzhan Wang; Zunlong Liu; Xiaomin Zhu; Chen Lin,4,3,10.1145/3734527,https://doi.org/10.1145/3734527,article,ACM Transactions on Recommender Systems,https://openalex.org/W4410748002
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-06-04,People Who Liked This Also Liked ... A Publication Analysis of Three Decades of Recommender Systems Research,Barry Smyth,4,2,10.1145/3742442,https://doi.org/10.1145/3742442,article,ACM Transactions on Recommender Systems,https://openalex.org/W4411032660
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-06-04,Sheaf4Rec: Sheaf Neural Networks for Graph-based Recommender Systems,Antonio Purificato; Giulia Cassarà; Federico Siciliano; Píetro Lió; Fabrizio Silvestri,4,2,10.1145/3742898,https://doi.org/10.1145/3742898,article,ACM Transactions on Recommender Systems,https://openalex.org/W4411031516
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-06-23,Curious or Conservative: Dynamic Curiosity-aware Explainable Recommendation,Yue Kou; Dong Li; Derong Shen; Xiangmin Zhou; Tiezheng Nie; Ge Yu,4,2,10.1145/3745774,https://doi.org/10.1145/3745774,article,ACM Transactions on Recommender Systems,https://openalex.org/W4411535353
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-06-30,Recommender Systems for Good (RS4Good): Survey of Use Cases and a Call to Action for Research that Matters,Dietmar Jannach; Alan Said; Marko Tkalčič; Markus Zanker,5,1,10.1145/3746648,https://doi.org/10.1145/3746648,article,ACM Transactions on Recommender Systems,https://openalex.org/W4411813613
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-07-12,Evaluating Linear Shallow Autoencoders on Large Scale Datasets,Vojtěch Vančura; Petr Kasalický; Rodrigo Augusto da Silva Alves; Pavel Kordík,,,10.1145/3748335,https://doi.org/10.1145/3748335,article,ACM Transactions on Recommender Systems,https://openalex.org/W4412363075
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-07-16,A Fair Enhanced Bayesian Personalized Ranking Using Adversarial Learning,Armielle Noulapeu Ngaffo; Julien Albert; Benoît Frénay‬; Gilles Perrouin,4,2,10.1145/3749106,https://doi.org/10.1145/3749106,article,ACM Transactions on Recommender Systems,https://openalex.org/W4412473345
ACM Transactions on Recommender Systems (TORS),ACM,2025,2025-07-23,MBASR: A Generic Framework for Multi-Behavior Data Augmentation in Sequential Recommendation,Qi Xiao; Jing Xiao; Weike Pan; Zhong Ming,4,3,10.1145/3749998,https://doi.org/10.1145/3749998,article,ACM Transactions on Recommender Systems,https://openalex.org/W4412593979
